,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
6722,40,False,2,New Zealand,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_6,"Yes, I work on many different projects",2,Web development,11.0,3.6
6725,21,False,51,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,Yes – Please list:,8.0,3.0,Python 3_7,"No,  I only work on one project",2,Data analysis,1.0,3.7
6729,40,False,5000,Canada,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,9.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",8,DevOps / System administration / Writing automation scripts,11.0,3.7
6734,30,True,1001,United States,Fully employed by a company / organization,Other,Weekly,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Other,3.0,3.7
6735,30,False,5000,Czech Republic,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,11.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,6.0,3.6
6742,30,True,1001,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",7.0,6.0,Python 3_6,"Yes, I work on many different projects",13,Data analysis,6.0,3.6
6743,40,False,51,United States,Fully employed by a company / organization,I don't remember,Daily,Other,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",5,Web development,11.0,3.8
6750,21,True,51,India,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,3.0,3.7
6751,21,False,5000,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Unknown,3.0,3.8
6753,30,False,2,Ukraine,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,11.0,3.8
6754,21,False,11,Germany,Working student,I don't remember,Weekly,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Desktop development,1.0,3.6
6758,30,False,5000,Czech Republic,Fully employed by a company / organization,Other,Daily,Other,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",3.0,6.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,6.0,3.8
6760,30,False,5000,Chile,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",13,Other,6.0,3.7
6763,30,False,2,Finland,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Advertising,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
6770,40,Other,2,Israel,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Machine learning,11.0,3.6
6773,40,False,2,Germany,Fully employed by a company / organization,I don't remember,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
6777,21,False,1001,United Kingdom,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,3.0,3.7
6782,30,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Other,11.0,3.7
6786,30,False,5000,United States,Fully employed by a company / organization,Search engines,Daily,Other,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_6,"Yes, I work on many different projects",13,DevOps / System administration / Writing automation scripts,6.0,3.6
6787,60,False,11,United States,Fully employed by a company / organization,Advertising,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",3,Data analysis,11.0,3.7
6796,40,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,Yes – Please list:,10.0,11.0,Python 3_8,"Yes, I work on many different projects",8,Web development,11.0,3.8
6798,60,False,5000,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",6,Web development,11.0,3.7
6810,40,True,1001,Austria,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",5,Web development,6.0,3.8
6811,21,False,51,Brazil,Fully employed by a company / organization,School / University,Weekly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Software prototyping,3.0,3.7
6812,21,True,51,India,Partially employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Machine learning,1.0,3.8
6814,21,True,11,Israel,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Computer graphics,3.0,3.7
6817,30,False,11,Netherlands,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,11.0,3.7
6819,60,False,51,United States,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,11.0,Python 3_6,"Yes, I work on many different projects",2,Web development,11.0,3.6
6820,40,False,1001,Hungary,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,For work,Yes – Please list:,9.0,1.0,Python 3_8,"No,  I only work on one project",4,Unknown,11.0,3.8
6822,21,True,11,Netherlands,Fully employed by a company / organization,School / University,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,1.0,3.6
6825,30,False,11,Turkey,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Data analysis,3.0,3.6
6826,40,False,1,Brazil,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Eclipse + Pydev,Yes,Work as an external consultant or trainer,For work,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",1,Unknown,11.0,3.8
6827,30,False,501,France,Partially employed by a company / organization,Friend / Colleague,Weekly,IntelliJ IDEA,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on many different projects",5,Web development,11.0,3.8
6829,40,False,2,Czech Republic,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
6832,21,True,51,China,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",6,DevOps / System administration / Writing automation scripts,3.0,3.7
6836,30,False,11,United Kingdom,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,3.0,3.8
6837,30,False,1001,United Kingdom,Fully employed by a company / organization,I don't remember,Daily,VS Code,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",6,Machine learning,6.0,3.8
6843,50,False,51,Canada,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Other,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",5,DevOps / System administration / Writing automation scripts,11.0,3.8
6844,40,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.6
6846,21,True,11,Israel,Partially employed by a company / organization,School / University,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,Yes – Please list:,8.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",3,Other,3.0,3.7
6847,21,True,11,Netherlands,Fully employed by a company / organization,School / University,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.7
6848,21,False,11,Other country,Working student,School / University,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,1.0,3.8
6851,30,False,51,Viet Nam,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",13,Web development,6.0,3.7
6852,30,False,11,United States,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,6.0,3.8
6854,30,True,5000,United States,Fully employed by a company / organization,Search engines,Daily,Atom,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",4,Data analysis,6.0,3.8
6855,21,False,1001,France,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",5,DevOps / System administration / Writing automation scripts,1.0,3.6
6856,21,False,51,Nigeria,Partially employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",5,Web development,3.0,3.7
6857,21,False,11,Mexico,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
6859,30,False,11,Germany,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_7,"Yes, I work on many different projects",8,Web development,6.0,3.7
6861,30,False,11,Brazil,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_6,"Yes, I work on many different projects",2,Desktop development,11.0,3.6
6862,21,True,11,Kazakhstan,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"No,  I only work on one project",2,Machine learning,3.0,3.7
6868,60,False,1,United States,Partially employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",1,Data analysis,11.0,3.8
6869,21,True,11,Netherlands,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,3.0,3.8
6871,30,True,1,Brazil,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,VS Code,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",1,Machine learning,3.0,3.7
6874,21,False,51,Colombia,Fully employed by a company / organization,Conference / User Group,Daily,Emacs,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",8,Web development,3.0,3.8
6879,21,True,501,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,Spyder,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Machine learning,1.0,3.6
6883,40,True,11,Czech Republic,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,6.0,3.7
6884,30,True,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,6.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,3.0,3.8
6886,21,False,5000,Romania,Fully employed by a company / organization,Friend / Colleague,Daily,NotePad++,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",8,Unknown,1.0,3.8
6887,21,False,2,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"No,  I only work on one project",2,Web development,3.0,3.6
6889,30,True,11,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,JupyterLab,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Data analysis,3.0,3.7
6890,30,False,2,Turkey,"Self-employed (a person earning income directly from one's own business, trade, or profession)", Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_9,"No,  I only work on one project",1,Web development,1.0,3.9
6899,30,False,51,Brazil,Fully employed by a company / organization, Online learning platform / Online course,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",3,Data analysis,3.0,3.6
6902,21,True,1001,India,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",5,Machine learning,1.0,3.7
6904,30,False,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Conference / User Group,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,8.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Unknown,11.0,3.7
6905,30,False,1001,Germany,Fully employed by a company / organization,School / University,Daily,Spyder,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",4,Unknown,3.0,3.8
6906,21,False,11,Spain,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.8
6908,50,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,11.0,3.7
6914,30,False,5000,Poland,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Vim,Yes,Work in a team,Both for work and personal,Yes – Please list:,5.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
6915,21,True,1001,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Other,1.0,3.7
6918,30,True,1001,Germany,Fully employed by a company / organization,Search engines,Daily,JupyterLab,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",4,Data analysis,3.0,3.8
6927,30,False,51,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Weekly,VS Code,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Unknown,1.0,3.8
6933,21,False,2,Belgium,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Desktop development,3.0,3.7
6936,40,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",5,Network programming,11.0,3.6
6938,30,False,11,Czech Republic,Fully employed by a company / organization,Other,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"No,  I only work on one project",2,Software testing / Writing automated tests,1.0,3.7
6939,21,False,51,Colombia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_6,"No,  I only work on one project",8,Web development,6.0,3.6
6941,21,False,1,Russian Federation,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",1,Web development,6.0,3.8
6942,21,False,11,Mexico,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",3,Desktop development,1.0,3.7
6943,21,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,IDLE,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",7.0,1.0,Python 3_8,"Yes, I work on many different projects",3,Web development,3.0,3.8
6949,21,False,51,Uruguay,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"No,  I only work on one project",8,Programming of web parsers / scrapers / crawlers,3.0,3.7
6950,21,False,51,France,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,3.0,3.7
6951,21,False,5000,Bulgaria,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"No,  I only work on one project",4,Web development,3.0,3.7
6960,21,False,11,Mexico,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_8,"No,  I only work on one project",3,Unknown,1.0,3.8
6965,21,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Programming of web parsers / scrapers / crawlers,3.0,3.8
6967,50,True,11,United States,Fully employed by a company / organization,Other,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Machine learning,11.0,3.8
6969,21,True,5000,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,1.0,3.7
6974,30,False,11,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",8,Web development,3.0,3.8
6975,30,False,5000,Argentina,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,6.0,3.8
6978,30,False,501,Italy,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",8,DevOps / System administration / Writing automation scripts,3.0,3.7
6984,21,False,2,Germany,Working student,Friend / Colleague,Daily,Vim,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects",Yes – Please list:,7.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,1.0,3.8
6986,30,False,1001,United States,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",5,Web development,6.0,3.7
6989,30,False,501,Croatia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",5,Machine learning,3.0,3.7
6990,21,True,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Desktop development,3.0,3.8
6996,21,False,2,Other country,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,3.0,3.8
6997,30,False,11,Mexico,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
7000,50,False,5000,United States,Fully employed by a company / organization,Conference / User Group,Daily,Python Tools for Visual Studio (PTVS),Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,11.0,3.7
7001,21,True,11,Israel,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work in a team,For work,"No, it has all the features I need",7.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Machine learning,6.0,3.6
7006,40,False,51,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",6,Web development,11.0,3.7
7007,30,False,1001,Canada,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",4,DevOps / System administration / Writing automation scripts,3.0,3.8
7008,40,False,1,United States,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_8,"Yes, I work on many different projects",1,Web development,11.0,3.8
7009,40,False,11,Russian Federation,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",8,Web development,1.0,3.7
7011,21,False,11,Serbia,Working student,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Machine learning,11.0,3.8
7012,50,True,5000,Spain,Partially employed by a company / organization,Search engines,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_9,"Yes, I work on many different projects",7,DevOps / System administration / Writing automation scripts,11.0,3.9
7013,40,False,51,Spain,Fully employed by a company / organization,Other,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Other,11.0,3.7
7014,30,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,6.0,Python 3_6,"Yes, I work on many different projects",4,Data analysis,6.0,3.6
7016,21,False,2,United States,Fully employed by a company / organization,Search engines,Daily,NotePad++,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",1,Data analysis,3.0,3.8
7022,30,False,51,United States,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
7023,21,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,6.0,3.7
7026,50,True,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,11.0,3.8
7037,40,True,51,Canada,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,11.0,3.8
7043,60,False,1,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Other,Daily,Vim,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",1,Software prototyping,11.0,3.8
7052,30,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_6,"No,  I only work on one project",2,Web development,3.0,3.6
7055,40,False,51,Spain,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",7.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Unknown,11.0,3.8
